id,post_time,content,rise,post_id,segmented_content
1666841112437_mobileM,2022-10-27,當黨和媒體告訴你一片大好~ 就是準備割韭菜了~歡迎入場,1.0,93165,"['當黨', '和', '媒體', '告訴', '你', '一', '片', '大好', '~', ' ', '就', '是', '準備', '割', '韭菜', '了', '~', '歡迎', '入場']"
1666860183007_PTT02R,2022-10-27,"
過去近三十年，在大多數的情況下，只要滿足下列兩個條件之一，台股加權指數就會有至
少 25% 的修正：

一、景氣燈號跑完四種燈號（例如由紅、黃紅，經過綠走到黃藍燈）。
二、景氣燈號出現連續三顆以上代表「低迷」的藍燈。

其中最著名的兩次就是 2000-2001 年的網路泡沫，以及 2008-2009 年的美國金融海嘯引
起的兩次股災，這兩次台股加權指數的跌幅都超過五成。

目前台股從年初最高點 18,619 至本周低點的跌幅剛好 6000 點，比起上個月底跌幅繼續
擴大到 32%。是否已經到底部，未來幾個月景氣有沒有繼續下探，是接下來的觀察重點。

十月因為各項指標都比九月更差，所以有很大的機會會亮藍燈，如果各項數據沒能在年底
前落底反彈，那連續三個景氣藍燈的「台股一擊必殺條件」就會滿足。如果真的是如此，
那後面至少還有兩三千點的跌幅，手上持有多單的投資人不可不慎。

公園座椅熱銷中？

",1.0,140525,"['過去', '近', '三十', '年', '，', '在', '大多數', '的', '情況', '下', '，', '只要', '滿足', '下列', '兩', '個', '條件', '之', '一', '，', '台股', '加權', '指數', '就', '會', '有', '至', ' 少', ' ', '25', '%', ' ', '的', '修正', '：', '  一', '、', '景氣', '燈號', '跑完', '四', '種', '燈號', '（', '例如', '由', '紅', '、', '黃紅', '，', '經過', '綠', '走到', '黃藍燈', '）', '。', ' ', '二', '、', '景氣', '燈號', '出現', '連續', '三', '顆', '以上', '代表', '「', '低迷', '」', '的', '藍燈', '。', ' ', ' ', '其中', '最', '著名', '的', '兩', '次', '就是', ' ', '2000', '-', '2001 年', '的', '網路', '泡沫', '，', '以及', ' ', '2008', '-', '2009 年', '的', '美國', '金融', '海嘯', '引 起', '的', '兩', '次', '股災', '，', '這', '兩', '次', '台股', '加權', '指數', '的', '跌幅', '都', '超過', '五成', '。', ' ', ' ', '目前', '台股', '從', '年初', '最', '高點', ' ', '1']"
1657679493916_F02_dcard,2022-07-12,"https://i.imgur.com/tJg4RyH.jpg
https://i.imgur.com/GaNluAD.jpg
年初才開始投入股市，菜鳥一隻
目前狀況是這樣@@
請益目前手邊還有一些資金可投入建議:
1.購入00900繼續攤
2.不管其他的，就定期買006208
3.趁便宜新購入00878
4.都不要再動，再等等

其實目前00900已經放飛了，不太想管，但看到才11.多很想加碼攤平，但大多人都推00878也很想跟一波，猶豫不決，又或是定期購入006208穩穩買就好，請各位給點意見~謝謝！

我是打算抱長期的，反正錢放銀行也是被通膨吃掉，也是閒錢想趁現在慢慢撿，看有沒有甚麼好建議，謝謝🥺
https://sticker-assets.dcard.tw/images/73c6b900-8ac7-4e66-a69d-597041e6841c/orig.png",1.0,20314,"['https', ':', '//i.imgur.com/tJg4RyH.jpg https://i.imgur.com/GaNluAD.jpg', ' ', '年', '初', '才', '開始', '投入', '股市', '，', '菜鳥', '一', '隻', ' ', '目前', '狀況', '是', '這樣', '@', '@', ' 請益', '目前', '手', '邊', '還', '有', '一', '些', '資金', '可', '投入', '建議', ':', ' ', '1.', '購入', '00900', '繼續', '攤', ' ', '2', '.', '不管', '其他', '的', '，', '就', '定期', '買', '006208', ' ', '3', '.', '趁', '便宜', '新', '購入', '00878', ' ', '4', '.', '都', '不要', '再動', '，', '再', '等', '等', ' ', ' ', '其實', '目前', '00900', '已經', '放飛', '了', '，', '不', '太', '想管', '，', '但', '看到', '才', '11', '.', '多', '很', '想', '加碼', '攤']"
1664288304766_F01,2022-09-27,我0050+金融股,1.0,85163,"['我', '0050', '+', '金融股']"
1657068970132_F01,2022-07-06,還好內人之前有問我要不要買?<BR>我只回她一句：你買菜會挑貴的時侯多買一點嗎?,1.0,80229,"['還好', '內人', '之前', '有', '問', '我', '要不要', '買', '?', '<', 'BR', '>', '我', '只', '回', '她', '一', '句', '：', '你', '買', '菜', '會', '挑', '貴', '的', '時侯', '多', '買', '一點', '嗎', '?']"
1660022752285_F0DCUNEW,2022-07-12,金融股放著～,1.0,20062,"['金融股', '放', '著', '～']"
1666607359374_mobileM,2022-10-24,"港股理應是全球最衰市場  景氣被中國帶衰,卻要跟景氣過熱的美國一起狂升息",1.0,91330,"['港股理', '應', '是', '全球', '最', '衰', '市場', ' ', ' ', '景氣', '被', '中國', '帶衰', ',', '卻', '要', '跟', '景氣', '過', '熱', '的', '美國', '一起', '狂升息']"
1665761365822_mobileR,2022-10-14,其實跌幅跟金融股差不多，富邦最高85，跌到目前48 兆豐45變29,-1.0,90802,"['其實', '跌幅', '跟', '金融股', '差不多', '，', '富邦', '最', '高', '85', '，', '跌到', '目前', '48', ' 兆豐', '45', '變', '29']"
1665563509031_mobileM,2022-10-12,互澆 感謝  https://shp.ee/3kday936mb5 https://shp.ee/nw2kwb6dmx5 https://shp.ee/ddvqmwhdxk5 https://shp.ee/u6835z8njc5 https://shp.ee/7xk85in8g85 https://shp.ee/6st8eefj4s5 https://shp.ee/trswhfg4ks5,-1.0,88863,"['互', '澆', ' ', '感謝', '  https', ':', '//shp.ee/3kday936mb5 https://shp.ee/nw2kwb6dmx5 https://shp.ee/ddvqmwhdxk5 https://shp.ee/u6835z8njc5 https://shp.ee/7xk85in8g85 https://shp.ee/6st8eefj4s5 https://shp.ee/trswhfg4ks5']"
1664869975255_F0DCU,2022-10-04,"那是因為台灣不敢升息
等選舉完了 一次升三碼給你看",-1.0,25047,"['那', '是', '因為', '台灣', '不', '敢', '升息', ' ', '等', '選舉', '完', '了', ' ', '一', '次', '升', '三', '碼', '給', '你', '看']"
