,id,p_type,s_name,s_area_name,post_time,title,author,content,page_url
3022,1679028140114_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 11:54:43.000,【全球洞悉】越南將成製造業明日之星？一文了解越南宏觀經濟與發展趨勢,鉅亨研報,全球經濟衰退抑制了出口需求，美國聯準會緊縮貨幣政策也限制了越南國家銀行的寬鬆貨幣政策。一旦美國聯準會緊縮週其觸頂，那在 2023 年下半年，越南國家銀行就會有放鬆貨幣政策的空間，而這會牽動越南的經濟走向為何？永豐金證券舉辦了越南論壇的講座，並邀請越南證券 (VCSC) 研究部總監針對越南前景作出宏觀的分析與說明，一起來看看吧！一、越南整體結構有利增長，前景可期越南目前仍是發展中經濟體最具亮點的，機構預測其至 2030 年能成長，並提出三項因素1. 人口數正成長根據聯合國的預測，越南總人口與勞動人口將維持增長至 2040 年，人口數的正成長預示著勞動人口增加，對經濟發展有利。2. 工業化發展以歷年趨勢來看，農業持續下滑，工業與服務業就業人數增加，顯示勞動力開始從農業轉向工業及服務業，存有快速工業化的空間。3. 大量的外國直接投資流入龐大的人口、較低的勞工成本，自由貿易協定與基礎建設的建置，將有利於外國直接投資。4. 越南進出口整理透過進出口產品的分布，除了可以知道哪邊佔比較高外，也能從中發掘投資趨勢。若 GDP 在 12 年內翻倍，增長率為 6%（10 年後增長 7%）因此，在固定的滲透率下，特定產品和服務的市場可能會在同一時期翻倍增長然而，經濟的結構性變化——工業化、城市化和家庭收入的增加——意味著多種產品和服務的市場可以增長得更快。溢價增長機會消費者–現代貿易; 高端化和奢侈品消費金融服務–獲得信貸; 儲蓄與投資資訊技術–面向全球客戶的軟體服務住宅房地產–城市移民和家庭小戶化; 增加抵押貸款投資比率工業地產–外國直接投資、產業群聚和相關供應鏈物料–增加人均消費; 進口替代基礎設施和交通–提高連通性和效率能源–轉向液化天然氣和可再生能源二、當前環境下的總經風險2022 年對西貢商業銀行 SCB 的高調逮捕、凍結的公司債券市場和一段時間的存款擠兌增加引發了這樣一個問題：越南是否存在結構性問題圍繞房地產泡沫破裂和銀行體系的資產質量問題類似於 2008 2012 年期間 2022 年的中國或 1997 年的泰國等東盟經濟體？1. 越南宏觀數據2. 越南債務狀況VCSC 認為，雖然越南的總槓桿率和外部借款在過去 10 年中明顯增加 但我們認為 根據我們對 GDP 持續強勁增長的預測目前的狀況是可控的。某些房地產開發商可能因財務槓桿高和或銷售進度緩慢而面臨財務困難。然而越南似乎並沒有在宏觀層面上過度投資於非生產性資產也沒有危險地依賴外部借款。銀行系統對房地產的直接敞口 估計佔總信貸的 7－8％看起來是可控的，基本情況是：SBV 將在必要時為銀行系統提供流動性支援但政府不會直接救助私營部門房地產開發商。至於越南對於宏觀經濟會不穩定嗎？VCSC 認為過去 10 年 通貨膨脹一直得到控制 (低於 5%) 信貸 /GDP 的擴張速度有所放緩，越南盾 / 美元相對穩定，外債總額與短期外債相較於儲備金看起來是可控的。三、越南宏觀展望全球經濟增長將在 2023 年上半年進一步放緩，並在 2023 年第二季度觸底，因為西方經濟體正在經歷通脹破壞的經濟循環衰退低谷。全球通脹已經見頂，到 2023 年將穩步下降，並在 2024 年上半年接近央行的目標。美國和歐洲央行將在 2023 年上半年進一步收緊貨幣政策（並繼續對通脹 “強硬壓制”），但利率政策應在 2023 年中期達到峰值。亞太經濟體的通貨膨脹落後於西方經濟體。亞洲央行採取了外匯干預和加息相結合的手段，試圖限制貨幣兌美元貶值對通脹的額外影響。通過利率差異進行匯率管理仍將是 2023 年上半年 SBV 的政策重點。然而，一旦美聯儲緊縮週期見頂，美元走軟應該會緩解這種壓力。2023 年上半年對越南來說具有挑戰性，因為 1）出口需求仍然疲軟，2）SBV 維持甚至進一步提高利率以管制越南盾兌美元匯率。2023 年越南增長緩解的因素：1）通過公共部門支出提振內需的財政空間很大; 2）入境外國旅遊進一步復甦，2022 年僅為 2019 年疫情前水準的 20%;3）中國的重新開放可能是出口和遊客入境的正向波動因素; 4）外國直接投資（FDI）支出的進一步增長。,https://tw.news.yahoo.com/%E5%85%A8%E7%90%83%E6%B4%9E%E6%82%89-%E8%B6%8A%E5%8D%97%E5%B0%87%E6%88%90%E8%A3%BD%E9%80%A0%E6%A5%AD%E6%98%8E%E6%97%A5%E4%B9%8B%E6%98%9F-%E6%96%87%E4%BA%86%E8%A7%A3%E8%B6%8A%E5%8D%97%E5%AE%8F%E8%A7%80%E7%B6%93%E6%BF%9F%E8%88%87%E7%99%BC%E5%B1%95%E8%B6%A8%E5%8B%A2-035443785.html
3023,1679027295944_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 11:57:00.000,【新潮香港1】參觀M+博物館必做5件事 5月中前搶打卡草間彌生展，收集最齊全點點人商品,童心怡,過往被香港人自嘲是一塊爛地的西九龍，是一塊填海造陸的海濱長廊，睽違數年後，這裡已成為香港藝術文化的聚集地「西九文化區」。2021年底開幕的「M+」是亞洲首間當代視覺文化博物館，也被譽為西九文化區的靈魂。M+是由曾獲普利茲克獎的建築師事務所Herzog & de Meuron，率領TFP Farrells和奧雅納工程顧問共同設計，博物館外觀是由水平、垂直的建築體構成，遠看就像是一座倒立的「T」，總共有1.7萬平方米的展覽空間，包括33個展廳、3個戲院、多媒體中心、學舍，以及可飽覽維多利亞港景色的天台花園，而大樓面向維港的幕牆，更裝有LED屏幕，會投放藝術家的流動影像作品，讓在西九海濱長廊及對岸港島的民眾都能觀賞到。必逛1：走進「香港：此地彼方」從動畫、蝸居、電影重新認識香港來到博物館就算沒買門票，也能參觀展出至6月中旬的「香港：此地彼方」，藉由不同藝術家的角度，從戰後到現在，從電影、建築、設計與影像等面向，勾勒出香港令人難忘的特質，同時也引導參觀者重新認識與閱讀香港的歷史。必逛2：以懸浮氣球與圓點打造的黑白萬花筒《圓點執念—渴望天堂的愛》令許多點點人粉絲引頸期盼的是展出至5月14日的「草間彌生：一九四五年至今」，其中最受歡迎的《圓點執念—渴望天堂的愛》，是一間沉浸式空間，以圓點及懸浮氣球等元素，包括一座鏡面空間，呈現有如黑白萬花筒的奇幻世界，同時間最多容納5人入內，而且限時參觀30秒。必買3：別太快離開草間彌生展間 這裡有最齊全點點人周邊商品 除了這件由草間彌生為M+創作的新作品，這次的展覽也從時序及主題出發，涵蓋多種媒介，包括繪畫、裝置、雕塑、素描、拼貼、流動影像和檔案資料，透過6個主題審視與欣賞草間彌生歷年的藝術創作，這也是草間彌生於日本以外，在亞洲地區最大型的回顧展，並且在展間內設置的草間彌生紀念品店，不只能挑選到種類齊全的周邊商品，也有M+與草間彌生合作的獨家商品，很容易讓人買到想剁手。必拍4：到天台花園居高臨下坐收維港與港島美景如果不是專為看展而來，M+也是一個能滿足購物與欣賞風景的好去處。位於M+大堂的紀念品店，同樣也有販賣M+與草間彌生合作的商品，並且能選購到各式各樣充滿設計感的禮物，包括以九龍彩虹邨繽紛外牆做成的便條紙與明信片，或是由動畫家江記繪製的海報，都能成為參觀M+的美好延續。連接天台花園的階梯是這間博物館裡面，我最喜歡的景點之一，不只能坐下來歇腿、吹著海風，還能拍下超有空間感的打卡照；或著直奔天台花園，也能欣賞讓人百看不膩的維港景致。必嘗5：喝杯自己與藝術品合照的藝術打印咖啡M+也有不少餐飲空間，讓我最感興趣的，是可以喝到藝術打印咖啡的「CURATOR Creative Café M+」，咖啡館位於博物館B1靠近海濱長廊一側，在這裡不只能悠閒喝杯咖啡、品嘗輕食與各種與藝術合作的期間限定甜點，也能望著窗外海景，足以讓人在這座博物館消磨半天時光。M+<BR>地址：香港九龍博物館道38號西九文化區M+<BR>電話：+852-2200-0217<BR>開放時間：10：00～18：00，週五至22：00，週一公休。<BR>網址：www.mplus.org.hk<BR>門票：民眾可免費參觀地下大堂展廳展覽「香港：此地彼方」、多媒體中心、大樓B1層和天台花園；其餘需購買標準門票（港幣120元／人，約NT$469）；參觀「草間彌生：一九四五年至今」需另外購買特別展覽門票（港幣240元／人，約NT$937）。香港旅遊資訊<BR>簽證：台灣旅客可持有效期內台胞證入境香港，每次停留不超過30天；無台胞證者可持效期6個月以上護照，出發前至「香港入境事務處」官網（bit.ly／2GCihN0）免費申請「預辦入境登記」，需用A4空白紙列印後隨身攜帶，預辦入境登記有效期為2個月，可訪港2次。<BR>匯率：港幣兌換新台幣約為1：3.9。（2023年3月資料）<BR>氣溫：香港3月均溫為攝氏17～21度，資料來源www.hko.gov.hk。<BR>航班：從台灣桃園機場可搭乘大灣區航空前往香港，使用B737-800客機執飛，每日1班，航程約1.5小時，詳情可上www.greaterbay-airlines.com查詢。<BR>【點擊看完整全文】<BR>,https://tw.news.yahoo.com/%E6%96%B0%E6%BD%AE%E9%A6%99%E6%B8%AF1-%E5%8F%83%E8%A7%80m-%E5%8D%9A%E7%89%A9%E9%A4%A8%E5%BF%85%E5%81%9A5%E4%BB%B6%E4%BA%8B-5%E6%9C%88%E4%B8%AD%E5%89%8D%E6%90%B6%E6%89%93%E5%8D%A1%E8%8D%89%E9%96%93%E5%BD%8C%E7%94%9F%E5%B1%95-%E6%94%B6%E9%9B%86%E6%9C%80%E9%BD%8A%E5%85%A8%E9%BB%9E%E9%BB%9E%E4%BA%BA%E5%95%86%E5%93%81-035700832.html
3024,1679027295834_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 11:57:01.000,【新潮香港2】中環24小時畫室「西施畫坊」 首創超紓壓瘋狂繪畫，不限時還能唱卡拉OK,童心怡,"體驗藝術的形式有無數種，除了逛博物館，回到熱鬧的中環擺花街，這裡還有一間隱藏於商業大樓裡、24小時營業的「西施畫坊」，不少客人工作不開心、失戀受傷了，都會打給畫坊主人，問能不能立刻來畫畫？只要時間允許，西施畫坊都會為客人敞開畫室大門，陪伴他們聊天與作畫。主理人Moses坦言，一開始創立畫坊，就是希望透過藝術，能為生活繁忙的香港人提供一個紓壓喘息的空間，貼心的他還會斟杯好酒給客人，讓他們能侃侃而談，說出自己的故事。有別於西營盤分店擁有能飽覽維港海景的無敵景觀，中環分店的祕密武器則是能一邊作畫、一邊歡唱卡拉OK，本來有點害羞的我，也在兩杯黃湯下肚後，忘記偶包，唱得不亦樂乎。不過，西施畫坊最紓壓的，其實是他們在香港首創的「瘋狂繪畫」，不僅沒有限時，而且還提供圍裙、雨衣及鞋套等裝備，老師也會播放音樂，並遞上香檳或紅酒，讓體驗者能毫無顧忌的在畫布上瘋狂揮灑創意。而且這種作畫不需用上畫筆，老師親自示範把整杯調好的顏料，直接砸到畫布上，這才算是名副其實的瘋狂繪畫。環顧四周，從天花板到玻璃門，甚至畫室的門鈴開關等，全都覆蓋了各種顏料，完全可以想像，來體驗瘋狂繪畫的每個人都壓力山大！西施畫坊（中環店）<BR>地址：香港中環擺花街嘉寶商業大廈1502室<BR>網址：www.saishk.com<BR>費用：瘋狂繪畫不限時間，最多可6人參加，含顏料、畫筆、圍裙、雨衣、鞋套、1杯香檳或紅酒等，現場有老師指導，每次港幣580元起（約NT$2,265）。正常畫布尺寸為30×40cm，可加價更換更大畫布。香港旅遊資訊<BR>簽證：台灣旅客可持有效期內台胞證入境香港，每次停留不超過30天；無台胞證者可持效期6個月以上護照，出發前至「香港入境事務處」官網免費申請「預辦入境登記」，需用A4空白紙列印後隨身攜帶，預辦入境登記有效期為2個月，可訪港2次。<BR>匯率：港幣兌換新台幣約為1：3.9。（2023年3月資料）<BR>氣溫：香港3月均溫為攝氏17～21度，資料來源www.hko.gov.hk。<BR>航班：從台灣桃園機場可搭乘大灣區航空前往香港，使用B737-800客機執飛，每日1班，航程約1.5小時，詳情可上www.greaterbay-airlines.com查詢。★《鏡週刊》關心您：未滿18歲禁止飲酒，飲酒過量害人害己，酒後不開車，安全有保障。<BR>【點擊看完整全文】<BR>",https://tw.news.yahoo.com/%E6%96%B0%E6%BD%AE%E9%A6%99%E6%B8%AF2-%E4%B8%AD%E7%92%B024%E5%B0%8F%E6%99%82%E7%95%AB%E5%AE%A4-%E8%A5%BF%E6%96%BD%E7%95%AB%E5%9D%8A-%E9%A6%96%E5%89%B5%E8%B6%85%E7%B4%93%E5%A3%93%E7%98%8B%E7%8B%82%E7%B9%AA%E7%95%AB-%E4%B8%8D%E9%99%90%E6%99%82%E9%82%84%E8%83%BD%E5%94%B1%E5%8D%A1%E6%8B%89ok-035701395.html
3025,1679027295698_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 11:57:02.000,【新潮香港3】「餐飲界梵谷」把港式零嘴變造型蛋糕 神還原紙包檸檬茶、當仔杯麵與菠蘿包,童心怡,睽違3年重回香港，發現香港連西式甜點也能玩轉復古與創意。由曾獲美國餐飲界最高肯定James Beard Award的主廚Dominique Ansel所創立的「當文歷餅店」就是箇中高手，他不僅被美國媒體封為「餐飲界的梵谷」，糕點店遍及紐約、倫敦及洛杉磯，在2017年世界50最佳餐廳中，更奪得「全球最佳甜點主廚」頭銜。當Dominique來到香港展店，特別推出許多融合本地特色的趣味糕點，像是以兒時零嘴為靈感的甜點系列，能吃到外形宛如維他檸檬茶的「紙包檸檬茶」，內裡其實是用伯爵茶馬斯卡彭慕斯、佛手柑奶酪、杏仁餅、脆片餅乾與白巧克力製作。另一道「港式奶茶曲奇杯」，刻意將餅乾做成養樂多造型，還可打開上蓋，將奶茶倒入其中，讓人邊吃邊喝，非常有意思。當然，來到當文歷餅店絕不能錯過主廚在全世界都廣受歡迎的麵包，這款可說是法國布列塔尼傳統麵包Kouign Amann變奏版的「DKA」，外層包覆一層焦糖，咬下去外酥內軟，層次豐富，令人回味，也適合當伴手禮。當文歷餅店（海港城）<BR>地址：香港九龍尖沙咀廣東道3-27號海港城海運大廈地下OT G63A號舖<BR>電話：+852-2613-8618<BR>營業時間：12：00～20：00，週五、六、日至21：00。<BR>官網：dangwenli.com香港旅遊資訊<BR>簽證：台灣旅客可持有效期內台胞證入境香港，每次停留不超過30天；無台胞證者可持效期6個月以上護照，出發前至「香港入境事務處」官網（bit.ly／2GCihN0）免費申請「預辦入境登記」，需用A4空白紙列印後隨身攜帶，預辦入境登記有效期為2個月，可訪港2次。<BR>匯率：港幣兌換新台幣約為1：3.9。（2023年3月資料）<BR>氣溫：香港3月均溫為攝氏17～21度，資料來源www.hko.gov.hk。<BR>航班：從台灣桃園機場可搭乘大灣區航空前往香港，使用B737-800客機執飛，每日1班，航程約1.5小時，詳情可上www.greaterbay-airlines.com查詢。<BR>【點擊看完整全文】<BR>,https://tw.news.yahoo.com/%E6%96%B0%E6%BD%AE%E9%A6%99%E6%B8%AF3-%E9%A4%90%E9%A3%B2%E7%95%8C%E6%A2%B5%E8%B0%B7-%E6%8A%8A%E6%B8%AF%E5%BC%8F%E9%9B%B6%E5%98%B4%E8%AE%8A%E9%80%A0%E5%9E%8B%E8%9B%8B%E7%B3%95-%E7%A5%9E%E9%82%84%E5%8E%9F%E7%B4%99%E5%8C%85%E6%AA%B8%E6%AA%AC%E8%8C%B6-%E7%95%B6%E4%BB%94%E6%9D%AF%E9%BA%B5%E8%88%87%E8%8F%A0%E8%98%BF%E5%8C%85-035702444.html
3026,1679026124813_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 12:05:27.000,金管會鬆綁外匯準備金規範 壽險業獲利不再「兩頭燒」,,"【民眾網記者劉家瑜／綜合報導】受到去（2022）年底台幣貶值9.83%，壽險業在台美利差擴大下，傳統外匯避險成本大幅攀升，但壽險業不但無法動用外匯準備金沖回，所提存外匯準備金還大幅增加1,850億元，讓業者陷入「蠟燭兩頭燒」的局面，金管會16日宣布修正「外匯準備金機制」，除修改上限及沖抵下限規範外，並允許準備金超額免提存、若避險成本高於歷史均價將可沖抵，將有助壽險業者提升匯率風險管理彈性及平穩避險成本，進而強化清償能力及健全財務體質，公告後3月財報即可適用。金管會考量監理需求、保險業財務穩健性及避險策略等因素，採納壽險公會建議，修正外匯準備金累積上限規定。現行規定外匯準備金累積上限為當年度年底壽險業國外投資總額之9.5%，考量改以國外投資淨曝險部位為計算基礎，較符合壽險業實務外匯避險操作管理實務及RBC風險資本計算邏輯，爰修正壽險業者外匯準備金當年度累積上限為其前一年度國外投資淨曝險平均部位以95%信賴水準計算之1年外匯風險值。另外，金管會也新增傳統避險成本提存、沖抵機制，考量外匯避險成本率長期而言跟景氣循環一樣具有週期性，為使外匯避險成本趨於穩定的長期平均，於避險成本相對低廉時額外提存外匯準備金、相對高昂時額外沖抵外匯準備金，發揮外匯準備金「晴天儲糧、雨天撐傘」的特性。該機制訂定當月1年期台幣兌美元換匯（CS，Currency Swap）交易平均避險成本高於歷史均價時，將可從累積的外匯價格變動準備金回沖，如果低於歷史均價，則要增提。保險局副局長蔡火炎透露，目前避險成本率為3.8%，超過CS歷史平均成本1.42％，已達可動用門檻，以今年1月底壽險業國外投資約19兆元來試算，投資部位用CS工具避險佔七成，依新制估算，25%成本可用準備金沖抵，全體壽險業可用來沖抵避險費用的準備金約64.5億元。目前約9家壽險業已達提存100%上限，另外有八家提存水位已超過八成，僅五家提存水位未滿八成。蔡火炎說明，壽險業不一定要達提存100%上限才能沖抵，但只要未觸及下限都可沖抵避險費用，未觸及上限也不代表要馬上增提，所以新制上路後，是每一家業者都受益。儘管1月台幣兌美元較去年底升值2.2%，壽險業外匯價格變動準備金的累積餘額較去年底減少362億元，但目前水位高達1,927億元。另外，截至2月底，國泰金旗下國壽的外匯價格變動準備金累計餘額逾420億元，富邦金控旗下富邦人壽累計餘額亦近350億元，新光金控旗下新壽去年底累計餘額為243億元。另外，因去年外匯準備金餘額大幅增加為2,289億元，依現行公式將使今年沖抵下限大幅提升至458億元，約為平均沖抵下限金額119億元的3.8倍，且一旦觸及沖抵下限，業者後續需回復至沖抵下限3倍外匯準備金，金額極高，恐影響外匯準備金提存沖抵功能。金管會亦修正外匯準備金沖抵下限為前五年平均每月固定提存金額的六倍，約139億元，此金額也較接近實施以來的平均沖抵下限。",https://tw.news.yahoo.com/%E9%87%91%E7%AE%A1%E6%9C%83%E9%AC%86%E7%B6%81%E5%A4%96%E5%8C%AF%E6%BA%96%E5%82%99%E9%87%91%E8%A6%8F%E7%AF%84-%E5%A3%BD%E9%9A%AA%E6%A5%AD%E7%8D%B2%E5%88%A9%E4%B8%8D%E5%86%8D-%E5%85%A9%E9%A0%AD%E7%87%92-040527414.html
3027,1679032337680_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 13:04:14.000,盤中速報 - 電子通路類指數類股表現強勁，漲幅2.05%，總成交額2.34億,鉅亨網新聞中心,台股今日電子通路業類股表現強勁，17日13:04相關指數上漲2.05%，總成交額2.34億元，大盤占比0.38%。該產業上漲家數14、下跌家數1、平盤家數0。領漲個股巨虹(8084-TW)17日13:03股價上漲4.5元，報106.5元，漲幅4.41%。電子通路類指數近5日下跌2.18%，櫃買指數下跌4.15%，產業指數漲幅表現優於大盤。產業指數績效電子通路類指數櫃買指數近一週-2.18%-4.15%近一月+0.83%+0.46%近三月-1.01%+8.83%近六月-7.48%+6.04%<BR>〈台股盤後〉瑞信風暴衝擊跌逾160點 惟15200點失而復得<BR>台股退守15200點 外資連3日倒貨 三大法人賣超155.34億元<BR>金融股遭狙擊 台股跌166點收15221點 創兔年來新低<BR>〈台股盤中〉金融股賣壓沉重 一度大跌百點續探波段低,https://tw.news.yahoo.com/%E7%9B%A4%E4%B8%AD%E9%80%9F%E5%A0%B1-%E9%9B%BB%E5%AD%90%E9%80%9A%E8%B7%AF%E9%A1%9E%E6%8C%87%E6%95%B8%E9%A1%9E%E8%82%A1%E8%A1%A8%E7%8F%BE%E5%BC%B7%E5%8B%81-%E6%BC%B2%E5%B9%852-05-%E7%B8%BD%E6%88%90%E4%BA%A4%E9%A1%8D2-050414209.html
3028,1679032863714_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 13:55:57.000,台股收盤／台積電大漲13元至518元！台股漲231點收15452點 站上五日線,三立新聞網,記者戴玉翔／台北報導瑞士央行出手援助瑞信，加上美國大型銀行也向第一共和銀行注資，市場憂慮緩解，美股強彈激勵台股今（17）日開高走高，盤中大漲逾200點，重返15400點關卡，終場上漲231.84點，漲幅1.52%，收在15452.96點，今日大盤成交量2645億元。今日台積電以516元開出，順利填息，寫下季配息以來全數完成填息的佳績，終盤上漲13元，漲幅2.57%，收在518元。聯發科終盤上漲17元，漲幅2.25%，收在773元。鴻海終盤上漲1.5元，漲幅1.47%，收在103.50元。大立光終盤下跌5元，跌幅0.22%，收在2250元。聯電終盤上漲1.2元，漲幅2.31%，收在53.2元。今日 IC設計表現亮眼，系微、合邦亮燈漲停，其他包含點晶、力旺、聯詠、立積、矽統、致新、連宇、智原、安國、沛亨、聚積等，漲幅都超過3%。全民普發現金6000元將於3月22日起開放登記，最快4月6日起即可發放現金，利多消息激勵觀光類股表現，新天地、聯發國際亮燈漲停，雄獅、八方雲集、夏都、雲品、王品、洛碁、亞都、揚秦都大漲5%以上，整個觀光餐飲族群一片紅通通。,https://tw.news.yahoo.com/%E5%8F%B0%E8%82%A1%E6%94%B6%E7%9B%A4-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%A4%A7%E6%BC%B213%E5%85%83%E8%87%B3518%E5%85%83-%E5%8F%B0%E8%82%A1%E6%BC%B2231%E9%BB%9E%E6%94%B615452%E9%BB%9E-%E7%AB%99%E4%B8%8A%E4%BA%94%E6%97%A5%E7%B7%9A-055557080.html
3029,1679032863650_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 13:57:58.000,油價波動 下周汽油估降1角、柴油漲5角,,美國矽谷銀行倒閉引發經濟衰退擔憂，加上石油輸出國組織（OPEC）預估第2季油市供給小幅過剩，國際油價下跌。中油油價平穩雙機制持續運作，預估20日凌晨零時起，汽油每公升調降新台幣0.1元，柴油每公升調漲0.5元。依照預測，92無鉛汽油每公升為29.1元、95無鉛汽油每公升30.6元、98無鉛汽油每公升32.6元；超級柴油每公升為27.6元。根據中油浮動油價公式，累算至3月16日的調價指標7D3B（70%杜拜＋30%北海布倫特）週均價為每桶77.69美元，較上周82.83美元下跌5.14美元；新台幣兌美元匯率為30.624元，較上周30.724元升值0.1元。依浮動油價調整機制作業原則，預估下周汽油零售價每公升調漲0.1元，柴油零售價格每公升調漲1元。中油為符合亞鄰最低價政策，油價調整不得高於日本、南韓、香港、新加坡，加上油價漲幅已達實施平穩措施門檻，因此預估20日凌晨零時起，汽油每公升價格調降0.1元，柴油每公升價格調漲0.5元。,https://tw.news.yahoo.com/%E6%B2%B9%E5%83%B9%E6%B3%A2%E5%8B%95-%E4%B8%8B%E5%91%A8%E6%B1%BD%E6%B2%B9%E4%BC%B0%E9%99%8D1%E8%A7%92%E3%80%81%E6%9F%B4%E6%B2%B9%E6%BC%B25%E8%A7%92-055758372.html
3030,1679039174271_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 15:00:09.000,台股大漲站上15400點 外資終止連3賣 三大法人買超125.4億元,鉅亨網新聞中心,台股今 (17) 日開高走高，台積電扮演多頭主帥，帶領電子軍團上攻，鋼鐵、塑化等傳產股也來助攻，加上金融股止血回穩，加權指數終場大漲 231.84 點，收在 15452.96 點，收復 5 日線。三大法人合計買超 125.4 億元，外資終止連續 3 個交易日賣超，回頭買超 109 億元。台股周線連二黑，本周累計下跌 73.24 點。觀察三大法人今天籌碼動向，外資回頭買超 109.19 億元，終止連 3 賣；投信加碼買超台股，25.86 億元，寫下連 20 買紀錄；自營商賣超 9.55 億元，為連 7 賣。三大法人合計買超 125.4 億元。電子權值股今天展開強勁攻勢，台積電 (2330-TW) 除息第二日順利完成填息，終場強彈 2.57%，收在全場最高 518 元；聯電 (2303-TW) 收盤前最後一盤灌入 2.5 萬張巨量，與聯發科 (2454-TW) 股價連袂拉高，收漲逾 2%；鴻海 (2317-TW)、華碩 (2357-TW)、國巨 (2327-TW)、南亞科 (2408-TW) 等均獲資金點火。喜迎鋼市傳統旺季，中鋼 (2002-TW) 開出 4 月、第二季盤價全面上漲，吸引買盤湧入，今天漲勢逐步放大，終場收漲近 3%，帶動鋼鐵股走高，新光鋼 (2031-TW)、佳大 (2033-TW) 等漲勢凌厲，東和鋼鐵 (2006-TW)、志聯 (2024-TW)、中鋼構 (2013-TW)、海光 (2038-TW) 也表現不俗。台塑四寶重回多頭懷抱，其中台塑 (1301-TW)、南亞 (1303-TW) 大漲逾 2%，台化 (1326-TW) 漲逾 1%。工具機族群也成為多頭指標之一，亞德客 - KY(1590-TW) 強漲逾 4%，以 1120 元作收，上銀 (2049-TW)、瀧澤科 (6609-TW)、福裕 (4513-TW) 等都表現強勢。全民普發現金 6000 元來了，下周民眾就可以預先登記入帳，市場樂觀看待可望進一步刺激國內消費，觀光股今天強勢走揚，新天地 (8940-TW)、聯發國際(2756-TW) 亮燈漲停，夏都 (2722-TW)、王品(2727-TW)、雲品(2748-TW)、八方雲集(2753-TW)、揚秦(2755-TW)、亞都(5703-TW)、洛碁(8077-TW) 等均大漲逾半根停板。歐洲央行按原計畫升息 2 碼，而美國第一共和銀行獲得 11 家大型銀行注入 300 億美元，台灣金融股今天止跌回穩，但尾盤漲勢略收斂，金控雙雄國泰金 (2882-TW) 上漲逾 1%，台新金 (2887-TW) 勁揚超過 2%，富邦金 (2881-TW)、開發金 (2883-TW)、玉山金 (2884-TW) 等漲幅縮至 1% 內。,https://tw.news.yahoo.com/%E5%8F%B0%E8%82%A1%E5%A4%A7%E6%BC%B2%E7%AB%99%E4%B8%8A15400%E9%BB%9E-%E5%A4%96%E8%B3%87%E7%B5%82%E6%AD%A2%E9%80%A33%E8%B3%A3-%E4%B8%89%E5%A4%A7%E6%B3%95%E4%BA%BA%E8%B2%B7%E8%B6%85125-4%E5%84%84%E5%85%83-070009436.html
3031,1679051243401_YahooNews,news,Yahoo新聞,股市匯市,2023-03-17 15:11:58.000,省荷包趁現在！下週油價出爐 每公升最高「可望調降0.5元」,陳彩梅,美國矽谷銀行倒閉後引發全球經濟衰退擔憂，加上石油輸出國家組織（OPEC）預估第2季油市供給小幅過剩，導致國際油價走跌。不過，台灣中油依舊穩定吸收，下週國內汽油可望調降0.1元、柴油則調漲0.5元，建議柴油車主可把握這個週末，將愛車油箱加滿來省點荷包。▲下週汽油可望調降0.1元、柴油則調漲0.5元。（示意圖／ENews）專家分析指出，隨著國際油價持續波動，中油累算至3月16日的調價指標7D3B週均價為77.69美元（約新台幣2373元），較上週82.83美元（約新台幣2530元）下跌5.14美元（約新台幣157元），新台幣兌美元匯率則為30.624元，較上週30.724元上升0.1元，若依據浮動油價調整機制作業原則，以及不考量亞鄰競爭國最低價及平穩措施的條件下，預估下週汽油零售價將調漲0.1元，柴油則調漲1元。不過，專家認為受惠於油價平穩機制，中油將吸收部分漲幅，預估下週國內汽柴油價格將漲跌互現，汽、柴油每公升零售價可望分別調降0.1元、調漲0.5元，若按照此預估幅度，最新油價為92無鉛汽油每公升29.1元、95無鉛汽油每公升30.6元、98無鉛汽油每公升32.6元、超級柴油每公升27.6元。至於實際調整金額，專家強調還有待週日（19）中午12時，由台灣中油全球資訊網暨經濟部網站正式公佈為準，民眾可持續關住。,https://tw.news.yahoo.com/%E7%9C%81%E8%8D%B7%E5%8C%85%E8%B6%81%E7%8F%BE%E5%9C%A8-%E4%B8%8B%E9%80%B1%E6%B2%B9%E5%83%B9%E5%87%BA%E7%88%90-%E6%AF%8F%E5%85%AC%E5%8D%87%E6%9C%80%E9%AB%98-%E5%8F%AF%E6%9C%9B%E8%AA%BF%E9%99%8D0-5%E5%85%83-071158767.html
