stock_name,stock_symbol,period,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,debt_ratio,interest_coverage,current_ratio,quick_ratio,accounts_turnover,inventory_turnover,eps,book_value_per_share,date
福壽,1219,Q,8.8,1.94,1.5,1.42,52.58,4.54,159.74,81.54,2.3,1.6,0.19,13.83,2023-03-01 00:00:00
福懋油,1225,Q,5.96,1.98,1.64,1.6,54,4.82,157.96,97.87,1.96,1.89,0.3,16.18,2023-03-01 00:00:00
福壽,1219,Q,6.58,0.14,0.3,0.3,56.85,2.15,149.43,79.16,2.25,1.47,0.05,13.63,2022-12-01 00:00:00
福壽,1219,Q,5.12,-1.5,-0.83,-0.78,57.37,-1.93,156.4,73.49,2.21,1.36,-0.1,13.57,2022-09-01 00:00:00
福壽,1219,Q,9.96,3.21,3.13,2.93,56.61,12.68,152.37,73.2,2.31,1.62,0.42,13.67,2022-06-01 00:00:00
福壽,1219,Q,12.58,5.42,4.58,4.23,49.01,27.22,189.64,106.71,2.31,1.94,0.63,14.36,2022-03-01 00:00:00
統一,1216,Q,32.48,5.16,5.87,3.94,63.66,14.3,111.81,80.76,6.28,1.77,0.88,22.93,2023-03-01 00:00:00
統一,1216,Q,31.15,3.85,3.24,2.19,65.14,8.81,111.67,78.98,5.75,1.8,0.45,22.12,2022-12-01 00:00:00
統一,1216,Q,31.97,6.35,5.97,4.68,65.59,18.37,107.16,78.41,6.34,2.16,0.97,21.57,2022-09-01 00:00:00
統一,1216,Q,32.04,5.45,5.72,4.06,67.5,18.01,103.49,76.92,6.16,2.03,0.85,19.97,2022-06-01 00:00:00
統一,1216,Q,32.63,6.41,5.19,3.45,63.04,17.08,111.71,80.47,6.04,1.86,0.75,21.87,2022-03-01 00:00:00
泰山,1218,Q,10.98,-4.06,-2.64,-0.56,16.05,-10.37,468.45,401.92,1.93,1.68,-0.14,25.9,2023-03-01 00:00:00
福懋油,1225,Q,4.16,0.33,0.31,0.32,59.2,1.76,144.06,82.12,2,1.75,0.13,15.88,2022-12-01 00:00:00
福懋油,1225,Q,2.53,-1.1,-0.48,-0.49,58.46,-0.51,132.09,71.36,1.97,1.66,-0.05,15.72,2022-09-01 00:00:00
福懋油,1225,Q,8.9,4.43,4.11,3.95,60.23,15.31,133.67,73.21,2,1.64,0.67,15.76,2022-06-01 00:00:00
福懋油,1225,Q,11.25,6.33,5.62,4.96,52.27,36.22,139.83,76.56,1.9,1.69,0.94,16.7,2022-03-01 00:00:00
卜蜂,1215,Q,14.17,7.76,5.68,4.31,62.27,10.1,99.52,37.89,2.46,2.4,1.43,30.8,2023-03-01 00:00:00
卜蜂,1215,Q,12.52,6.25,4.77,3.99,64.05,10.09,98.15,40.3,2.55,2.84,1.22,30.52,2022-12-01 00:00:00
卜蜂,1215,Q,13,6.5,5.29,4.34,63.59,13.4,96.35,39.66,2.53,2.82,1.28,28.82,2022-09-01 00:00:00
卜蜂,1215,Q,15.35,9,7.19,5.62,64.8,19.58,92.29,36.88,2.46,2.57,1.82,30.64,2022-06-01 00:00:00
卜蜂,1215,Q,12.83,6.09,4.29,3.54,62.58,15.81,86.08,34.22,2.59,3.11,1.22,31.33,2022-03-01 00:00:00
福壽,1219,Y,8.56,1.82,1.8,6.86,56.85,7.63,149.43,79.16,8.95,6.96,1,13.63,2022-12-01 00:00:00
統一,1216,Y,31.94,5.53,5.05,14.22,65.14,15.17,111.67,78.98,24.65,7.18,3.02,22.12,2022-12-01 00:00:00
泰山,1218,Q,7.61,-20.04,209.56,56.28,24.54,673.14,313.77,261.7,1.6,1.77,11.28,25.83,2022-12-01 00:00:00
泰山,1218,Q,14.5,0.41,5,2.29,35.4,23.18,156.43,100.83,1.91,2.06,0.32,14.26,2022-09-01 00:00:00
泰山,1218,Q,14.44,0.85,4.85,1.98,33.7,24.87,168.47,99.53,1.97,1.98,0.27,13.93,2022-06-01 00:00:00
泰山,1218,Q,15.38,3.74,5.44,2.05,38.91,29.36,155.2,98.46,1.93,2.65,0.29,13.66,2022-03-01 00:00:00
