id,post_time,content,rise,post_id,segmented_content
1648702747917_1_NEW_F02UT,2022-03-30,"看你要做多久
短期就追高殺低（找會波動的標地
久的就逢低買進（找穩定的標地

聽說是這樣",-1.0,3795,"['看', '你', '要', '做', '多', '久', ' ', '短期', '就', '追高', '殺低', '（', '找', '會', '波動', '的', '標地', ' ', '久', '的', '就', '逢低', '買進', '（', '找', '穩定', '的', '標地', ' ', ' ', '聽說', '是', '這樣']"
1646585147451_F01,2022-03-07,個人比較喜歡車<BR>可能會拿個3 400萬最多不超過500買吧<BR>或是低價買入有V12引擎的車 剩下拿來養車 綽綽有餘了<BR>二手全新不在乎 選個自己真正喜歡的<BR>但可能會開非常久 畢竟是自己真正喜歡的車<BR>若對車無感建議買個日系進口就好 至少安全性沒問題<BR>房子個人覺得2000~3000左右就好<BR>剩下的找風險低一點的標的投資<BR>可能穩定領個股息之類的吧,-1.0,69096,"['個人', '比較', '喜歡', '車', '<', 'BR', '>', '可能', '會', '拿', '個', '3', ' ', '400萬', '最多', '不', '超過', '500', '買', '吧', '<', 'BR', '>', '或是', '低價', '買入', '有', 'V', '12', '引擎', '的', '車', ' ', '剩下', '拿來', '養', '車', ' ', '綽綽', '有餘', '了', '<', 'BR', '>', '二手', '全新', '不', '在乎', ' ', '選', '個', '自己', '真正', '喜歡', '的', '<', 'BR', '>', '但', '可能', '會', '開', '非常', '久', ' ', '畢竟', '是', '自己', '真正', '喜歡', '的', '車', '<', 'BR', '>', '若', '對', '車', '無感', '建議', '買', '個', '日系', '進口', '就', '好', ' ', '至少', '安全性', '沒', '問題', '<', 'BR', '>', '房子', '個人', '覺得', '2000', '~', '3000', '左右', '就', '好', '<', 'BR', '>', '剩下', '的', '找', '風險', '低', '一點', '的', '標的', '投資', '<', 'BR', '>', '可能', '穩定', '領', '個', '股息', '之', '類', '的', '吧']"
1656648774271_F01,2022-07-01,確實很慘，但，不意外,-1.0,79682,"['確實', '很', '慘', '，', '但', '，', '不', '意外']"
1683862733956_mobileR,2023-05-12,天上不會掉餡餅，一般情況下掉的都是鳥屎,1.0,112863,"['天上', '不會', '掉', '餡餅', '，', '一般', '情況', '下', '掉', '的', '都', '是', '鳥屎']"
1691022982268_F0DCU,2023-08-02,會賠到8%證明你完全不知道自己在幹嘛,-1.0,54783,"['會', '賠到', '8', '%', '證明', '你', '完全', '不', '知道', '自己', '在', '幹嘛']"
1656660936713_F01,2022-07-01,"不用30 年, 3 - 5 年就可以解套了.",-1.0,79869,"['不用', '30 年', ',', ' ', '3', ' ', '-', ' ', '5 年', '就', '可以', '解套', '了', '.']"
1698398476243_mobileR,2023-10-27,台商是守法守律的，在大陸創造廣大的就業機會，賺的只是微薄的利潤，當老共的人力紅利補貼政策不在有優勢時，台商就會往東南亞或是印度越南及第三世界，轉移製造基地。,1.0,128052,"['台商', '是', '守法守律', '的', '，', '在', '大陸', '創造', '廣大', '的', '就業', '機會', '，', '賺', '的', '只是', '微薄', '的', '利潤', '，', '當', '老共', '的', '人力', '紅利', '補貼', '政策', '不', '在', '有', '優勢', '時', '，', '台商', '就', '會', '往', '東南亞', '或是', '印度', '越南', '及', '第三', '世界', '，', '轉移', '製造', '基地', '。']"
1698850937189_mobileR,2023-11-01,杜老爺說法會一直變，至於2元簡直鬼扯，人家幾年前就擺明股利政策50%上下分配率，用低標46%來算，今年假設賺3塊*46%=1.38，算1.3基本了,1.0,129233,"['杜老爺', '說法', '會', '一直', '變', '，', '至於', '2', '元', '簡直', '鬼扯', '，', '人家', '幾', '年', '前', '就', '擺明', '股利', '政策', '50', '%', '上下', '分配率', '，', '用', '低標', '46', '%', '來', '算', '，', '今年', '假設', '賺', '3', '塊', '*', '46', '%', '=', '1.38', '，', '算', '1.3', '基本', '了']"
1684320661984_mobileR,2023-05-17,還是要有賺才有用 [笑],1.0,114213,"['還是', '要', '有', '賺', '才', '有', '用', ' ', '[', '笑', ']']"
1654841693140_PTT02R,2022-06-10,"原文標題：他開槓桿買台積電 25歲負債500萬 慘賠故事曝

原文連結：https://www.chinatimes.com/realtimenews/20220610000917-260405?chdtv

發布時間：2022/06/10 07:52

記者署名：中時新聞網 王嘉慶

原文內容：


剛出社會就負債500萬元，只因太貪心，一頭撞上「護國神山」。一名網友分享自身遭遇
，坦承開槓桿買股票慘賠，加上房貸、車貸，每個月要還6萬多，但他一個月薪水才3萬，
「每個月的繳款日我就很慌，怎麼辦」。


原PO在匿名論壇「Dcard」分享，稱股票投資失利，更慘的是他把家中透天厝拿去貸款，
利息甚至暴增為原本的3倍，悔不當初，想問問網友意見。


根據原PO截圖，他的房貸有205萬，融資買股票借了176萬，再加上一輛Lexus的車貸約100
多萬，總計負債近500萬。


原PO說，家裡經濟狀況不算富裕，只有這一棟透天厝，「但我卻私自拿去貸款，而且家人
還住在裡面，現在每月看到繳款日就很慌，怎麼辦」。


網友大酸原PO太貪心，「自以為股神」、「負債還開百萬進口車，年輕人真愛面子」、「
先把車賣掉，乖乖騎機車」、「我覺得你是敗家子無誤，當社畜還比較開心」；也有人勸
他向家人坦承，畢竟25歲還年輕，錢再賺就有。



心得/評論：

https://www.dcard.tw/f/job/p/239114739 Dcard原文

看內文是房貸+車貸+融資 超過500萬
其實一般人揹房貸也很容易超過500萬吧

買股票量力而為 過度槓桿 導致入不敷出 到了繳款日就很慌 很沒必要

--
",-1.0,135068,"['原文', '標題', '：', '他', '開', '槓桿', '買', '台積電', ' ', '25', '歲', '負債', '500萬', ' ', '慘', '賠', '故事', '曝', ' ', ' ', '原文', '連結', '：', 'https://www.chinatimes.com/realtimenews', '/', '20220610000917', '-', '260405', '?', 'chdtv', '  ', '發布', '時間', '：', '2022', '/', '06', '/', '10', ' ', '07', ':', '52', '  ', '記者', '署名', '：', '中時新聞網', ' ', '王嘉慶 ', ' ', '原文', '內容', '：', '   剛', '出', '社會', '就', '負債', '500萬', '元', '，', '只', '因', '太', '貪心', '，', '一', '頭', '撞上', '「', '護國神山', '」', '。', '一', '名', '網友', '分享', '自身', '遭遇', ' ', '，', '坦承', '開', '槓桿', '買']"
1666697561025_mobileR,2022-10-25,你確定他還有雞唧！？,1.0,92006,"['你', '確定', '他', '還', '有', '雞', '唧', '！', '？']"
1654793429132_F0DCU,2022-06-09,"我也是買在六百多😂
目前策略：拿用不到的錢大力攤平",-1.0,10672,"['我', '也', '是', '買', '在', '六百多', '😂 ', '目前', '策略', '：', '拿用', '不', '到', '的', '錢', '大力', '攤平']"
1665746283855_mobileM,2022-10-14,8k大一天賺5萬時， 神還是在螢幕前， 看著13000點，瑟瑟發抖， 口中念有詞，好可怕，好可怕， 明年會跌到8000點，13000太可怕了， 我不敢買股票。 8k大1000萬， g神在場外8000見， 8k大1200萬， g神又在場外跟大家7000見， 8k大1500萬， g誰還是在場外跟大家6000見。 當8k大2000萬， g神在場外跟大家5000見。 有網友問8k大股票賺錢成功的祕訣， 8k大說還好沒聽g神的話， 勇敢進場， 買一張股票， 買低賣高， 是股票唯一賺錢的秘訣。 不敢買股票的人， 永遠不會在股市賺錢。 當我8k大，45歲退休， 01網友稱為8k特， 股票值5000萬時， 01g神還是只能量手空空， 看著螢幕大盤點數， 在01跟網友說，我是神1000點見。,-1.0,90813,"['8', 'k', '大', '一', '天', '賺', '5萬', '時', '，', ' ', '神', '還是', '在', '螢幕', '前', '，', ' ', '看', '著', '13000', '點', '，', '瑟瑟', '發抖', '，', ' ', '口', '中', '念', '有', '詞', '，', '好', '可怕', '，', '好', '可怕', '，', ' ', '明年', '會', '跌到', '8000', '點', '，', '13000', '太', '可怕', '了', '，', ' ', '我', '不', '敢', '買', '股票', '。', ' ', '8', 'k', '大', '1000萬', '，', ' g神', '在', '場', '外', '8000', '見', '，', ' ', '8', 'k', '大', '1200萬', '，', ' ', 'g神', '又', '在', '場', '外', '跟', '大家', '7000', '見', '，', ' ', '8', 'k', '大', '1500萬', '，', ' ', 'g', '誰', '還是', '在', '場', '外', '跟', '大家', '6000', '見', '。', ' ', '當', '8', 'k', '大', '2000萬', '，', ' g', '神', '在', '場', '外', '跟', '大家', '5000', '見', '。', ' ', '有', '網友', '問', '8', 'k', '大', '股票', '賺錢', '成功', '的', '祕訣', '，', ' ', '8']"
1666673118109_mobileR,2022-10-25,平了81點 希望晚上有更低 撿,1.0,91697,"['平', '了', '81', '點', ' ', '希望', '晚上', '有', '更', '低', ' ', '撿']"
1690567185554_F0DCU,2023-07-28,你是有分批買入嗎？,-1.0,51365,"['你', '是', '有', '分批', '買入', '嗎', '？']"
