id,post_time,content,rise,post_id
1701681111214_F02_dcard_C,2023-12-04,"『開高遇壓拉回 台股平盤整理』

台股今日續作區間震盪整理格局，早盤開高後賣壓便湧出拉回，終場台股再收平盤附近位置，成交金額放大至3246億。目前台股波動率仍處低檔，短線在台股11/28低點不破下，台股的拉回仍可以選擇權方式樂觀操作。

外資現貨賣超52億，期貨淨空單增加至4353口。自營商選擇權淨部位，目前略以買賣權為主要布局。近月選擇權籌碼，賣權OI大於買權OI之差距為一萬八千餘口，買權OI增量不增反減。周選方面，買權賣權OI增量相遇不遠，目前選擇權多空皆無明顯表態。

綜合評論，外資賣現貨賣期貨，自營商選擇權呈現保守，月、周選略為樂觀，整體籌碼面略為樂觀。技術面台股今日開高遇壓拉回整理，目前在下檔支撐逐漸墊高下，台股的拉回仍可以選擇權方式樂觀操作。

資料來源：群益投顧",1.0,66300
1701683608646_F02_dcard_C,2023-12-04,"大家好👋我是建雄分析師

【美股】
上週五聯準會主席鮑爾
針對投資人對於降息的預期
澆了一盆冷水
美股卻以大漲來回應

💡目前投資市場的共識
認為升息循環今年將結束
接下來就是面對
明年下半年降息的開始

雖然資金面有利多頭
但短期行情漲多後
指數面臨技術面正乖離過大
市場追價意願不高
資金有轉進低基期股票的跡象

【📌今日強勢股-生技】
受中國黴漿菌疫情的擴大

【📌今日強勢股-航運】
受報價往上的利多消息刺激

🔍以技術面來看
股價大致都處於
『低基期且許久未漲』
吸引一些技術性的操作者
進場搶短賺價差

這類型股票通常
只能以『技術面』操作
⚠️一旦爆量不漲
或跌破均線支撐
這些搶短買盤就會出場
👉股價往往波動性較大
建議操作者見好就收

【電子股】近期拉回時
要留意相對穩健強勢的族群
因為這類型的股票
很可能是下波強勢主流股
拉回又是一次布局的機會
https://sticker-assets.dcard.tw/images/db90253f-7916-4cc7-886a-4b68136e6aa5/orig.png
👉今天的【雄才戰略】節目
https://youtu.be/CzFbObR44Ko",1.0,66310
1701685035331_F02_dcard_C,2023-12-04,"近期波羅的海乾散貨指數(BDI)近期內強勢大漲，突破頸線位置後並急速上漲(紅圈處)
https://megapx-assets.dcard.tw/images/a90e2e64-2116-47af-9e13-5d91ec2b1c27/orig.png
BDI是由大型船海岬型（BCI）、中型船巴拿馬型（BPI）及輕便型BHMI（Handysize）指數各佔權重三分之一的綜合指數。其中觀察到領先指標為海岬型（BCI）漲幅最靠前領先其他指數上揚。
https://megapx-assets.dcard.tw/images/7a1bd4ec-013f-4e78-b8e0-363e317790c4/orig.png
(資料來源:財經M平方)

根據以上資料我們就可以觀察台灣散裝航運業者中大型船占比較高以及股價結構強勢的個股:
https://megapx-assets.dcard.tw/images/5a22df88-4b6e-49d9-828b-81c2c36b6916/orig.png
https://megapx-assets.dcard.tw/images/d78dcbdc-bf0e-4a1a-9919-b8b4f0086288/640.jpeg
https://megapx-assets.dcard.tw/images/e6c8323a-0856-4b86-8b1f-50da034b6391/640.jpeg
以下大型船占比低股價結構明顯相對薄弱一點：
https://megapx-assets.dcard.tw/images/8949c3c3-c905-433d-b068-9bc8e6d907cb/orig.png
https://megapx-assets.dcard.tw/images/74721be9-8098-4265-9581-e46c591434e6/orig.png


-

喜歡歡迎追蹤

祝操作順利

(以上文章僅供參考.風險應自負)",1.0,66312
1701711032855_F0DCU,2023-12-04,"權證真的要停損 別攤平
99%凹不回來了
我當初50萬權證凹到龜苓膏
現在想想早知道停損
留個10幾萬買喜歡的東西給自己或父母都好
畢竟辛苦賺的錢",1.0,66311
1701711032812_F0DCU,2023-12-04,不要放棄，怎麼跌倒就怎麼爬起來！,1.0,66309
1701711032630_F0DCU,2023-12-04,你的Id取小奶昔註定當沖不會贏 先改名 改成地獄倒楣鬼 負負得正 每沖必剩👍,1.0,66304
1701711032711_F0DCU,2023-12-04,"不用開那麼大 放小一點找大一點的股票慢慢加油總會拿到錢的
https://sticker-assets.dcard.tw/images/30c0fc6b-4746-459d-bc05-6947373bea3a/orig.png",1.0,66307
1701699546541_F0DCU,2023-12-04,"只能說文章角度很單一，
怪沒有白紙黑字提醒客戶要小心業務員...有點法盲

不過身為受害人的角度可以理解

推測太相信業務員，保單當時留存資料沒有確認然後留業務員的人頭或是業務自己的資料，然後業務員手上一定有保戶的存摺印章或網銀
因為解約只能入要保人的戶頭

你可以去查XX 銀行理專A錢的新聞對該公司股價有沒有影響，稍微看一下就知道了",1.0,66306
1701711032651_F0DCU,2023-12-04,"你是做當沖 
為什麼會去看好美元升值那些有的沒的",1.0,66305
1701730390283_F0DCU,2023-12-04,"上週漲停追高買了200張
原本帳面+18萬後續打到停損直接認賠",1.0,66332
1701711032590_F0DCU,2023-12-04,"怎麼知道大戶會拉？
先進去等，自然就是可能等到可能等不到，所以要挑勝率高的，再進。
如果自選很多都漲停，表示不是今天而已",1.0,66303
1701699546398_F0DCU,2023-12-04,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,1.0,66302
1701683104904_F0DCU,2023-12-04,"B0 這根K線，對外資而言，就是""小下引長紅K""喔😉",1.0,66301
1701711032745_F0DCU,2023-12-04,"短線為啥看好美元升值？？
最近基本面怎麼看美元都不會升值吧",1.0,66308
1701701656990_F0DCU,2023-12-04,天知道,1.0,66314
1701699546678_F0DCU,2023-12-04,"謝謝各位賜教
身為韭菜的我會繼續好好學習的🙏",1.0,66320
1701734764232_F0DCU,2023-12-04,"已上車
https://sticker-assets.dcard.tw/images/3466451a-6547-4b54-b6a6-089047a2b3b8/orig.png",1.0,66316
1701710384047_F0DCU,2023-12-04,賭徒，投柯,1.0,66333
1701686430317_F0DCU,2023-12-04,"https://megapx-assets.dcard.tw/images/a0147f44-c68d-4dae-9827-167b87cbef8a/640.jpeg
今天又狂賣14776我真的快暈倒了⋯⋯",1.0,66330
1701710384014_F0DCU,2023-12-04,"今天康那香多空雙贏
34.2多單平倉反手空
那叫一個舒服",1.0,66329
1701699546722_F0DCU,2023-12-04,"跌個0.5毛，我在忠孝東路跟基隆路交叉路口尻
你的主張跟理由過於薄弱，僅為主訴，沒舉證責任
找律師吧，不然你穩輸，因為「點」都不對",1.0,66328
1701730929924_F0DCU,2023-12-04,長榮好像也可以進場耶,1.0,66331
1701731789612_F0DCU,2023-12-04,https://sticker-assets.dcard.tw/images/8c418a9c-a742-4522-ada2-ec5004378dff/orig.png,1.0,66315
1701730390196_F0DCU,2023-12-04,還套在30有10張。有加碼2張在22,1.0,66325
1701686280157_F02_dcard_C,2023-12-04,"😎😎😎

裕民：可惡，沒想到繼續熱航運，誰熱打誰，沒想到還漲停，關卡減碼，拼漲停前跑掉。

奇鋐：純粹看類股跌停去空的，1tick就走
https://megapx-assets.dcard.tw/images/2514f12f-9737-4b81-b2c4-a5881233c2f0/640.jpeg
https://megapx-assets.dcard.tw/images/8e4e8d53-b809-4373-9477-49ffdd9fb286/640.jpeg
https://megapx-assets.dcard.tw/images/e4853f5d-04c2-4ce7-a6d2-33681f942a1b/640.jpeg
https://megapx-assets.dcard.tw/images/4219fe39-ffeb-4d07-893c-c49a9addcf9e/640.jpeg

https://instagram.com/dingofuturestock

#輔助工具台指股期海期
#期貨 #股票 #選擇權 #策略交易 #程式交易 #台指 #台指期貨 #ai #stock #futures #option #籌碼分析",1.0,66323
1701730390141_F0DCU,2023-12-04,請問安國還有救嗎🥹買在高點,1.0,66322
1701711032974_F0DCU,2023-12-04,"有時間、錢 玩當沖 建議省下來 
去學技術面、籌碼面
（不然都想懷疑你是反串了🤔）",1.0,66321
1701711032914_F0DCU,2023-12-04,你的選股根本亂選 要玩當沖結果你選波段股,1.0,66319
1701730491210_F0DCU,2023-12-04,現在這個時間是隨便買隨便賺好嗎,1.0,66318
1701684795475_F02_dcard_C,2023-12-04,有時候，就算我把標的丟在你面前，說 買了 會賺錢，你也不一定會賺的到，往前翻我文章吧,1.0,66317
