id,post_time,content,rise,post_id
1698986833827_F0DCU,2023-11-03,需要手續費優惠的話歡迎找我可以幫你爭取比現在還低,1.0,65619
1699017424502_F0DCU,2023-11-03,有需要手續費更優惠的話歡迎找我 可以幫你爭取比現在更低的折數,1.0,65620
1698991481624_F0DCU,2023-11-03,有需要手續費更優惠的話歡迎找我 可以幫你爭取比現在更低的折數,1.0,65621
1699011863253_F0DCU,2023-11-03,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,1.0,65622
1698991046268_F0DCU,2023-11-03,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,1.0,65624
1699028357572_F0DCU,2023-11-03,太神了!!,1.0,65627
1698981427795_F0DCU,2023-11-03,元大路過甜甜價 需要可以找我！,1.0,65625
1699017424598_F0DCU,2023-11-03,加油，想知道原po怎麼判斷當沖進場點～想聽分享,1.0,65626
1699029108840_F0DCU,2023-11-03,有需要的話 歡迎看我的卡稱,1.0,65629
1698978259218_F02_dcard_C,2023-11-03,本身只有台新銀行帳戶，開證券戶建議直接開台新的證券戶嗎？（之後要定期定額）,1.0,65628
1698987400732_F0DCU,2023-11-03,有需要手續費更優惠的話歡迎找我 可以幫你爭取比現在更低的折數,1.0,65623
1698978559095_F02_dcard_C,2023-11-03,".
11/3 做空倫飛 +65,378
倫飛昨天出處置沒空到真的很可惜
今天還好有開紅 讓我比較有空的意願
最後120.5的大買單看起來很硬
目前為止成交量也還不多
不要再犯安國的低級錯誤了
停利吃早餐比較實在

https://megapx-assets.dcard.tw/images/b3eb0d01-128b-44f6-91c0-c06adddcc6da/orig.jpeg
https://megapx-assets.dcard.tw/images/e27d07fe-e73c-491d-987f-d1d755c36901/orig.jpeg


永遠不要忘記股海是洪水猛獸
下週再戰",1.0,65618
1698989582015_F0DCU,2023-11-03,這麼高還買得下手 可以稱得上是勇者了 估計可以請兒子幫你賣出,1.0,65609
1698992503731_F0DCU,2023-11-03,禮拜三上傳的podcast說近期會有反彈，當天晚上美股和隔天台股直接絕地大反攻，果然是我們癌大 愛您🫶,1.0,65616
1698989745314_F0DCU,2023-11-03,老婆，晚上早點回家。,1.0,65615
1698977170297_F0DCU,2023-11-03,"威盛真的很強欸
感謝大哥",1.0,65614
1698989582137_F0DCU,2023-11-03,加碼進場  賺爛！,1.0,65613
1698976971163_F02_dcard_C,2023-11-03,預測漲停！,1.0,65612
1698989373024_F0DCU,2023-11-03,"看著從漲到跌，賣不掉的煎熬
（嗚嗚",1.0,65611
1699021739583_F0DCU,2023-11-03,"我也是看好台積沒錯
但400、300⋯嗯好
我不予置評
買到這個價錢記得po單出來
我們大家一起幫你慶祝",1.0,65610
1698974889508_F02_dcard_C,2023-11-03,"最近初入股市，現在在嘗試看線圖，想詢問一下AI 熱潮已經剛過一波，目前成本價買進在19.65，考量到最近可能因為迎來11月除息，所以會短線上再被拉高到20上下，不知道各位長期投資的大佬，認為最適合的均價買點是多少，因為目前個人認知為AI 的開發只會越來越多人鑽研迎接新時代，所以長期是看好的，但回溯過往目前認為落在19上下是比較好的買點，不知道這樣的分析有沒有錯誤，希望各位能提點一下
https://sticker-assets.dcard.tw/images/3f8135cb-c935-4885-ac6d-dd6756cf7f82/orig.png",1.0,65608
1698989745249_F0DCU,2023-11-03,"不乾脆直接玩台指期就好嗎？
0050期貨成交量低，流動性比較差",1.0,65607
1698986186935_F0DCU,2023-11-03,越跌越買 沒錢自殺 簡單吧,1.0,65606
1699000779098_F0DCU,2023-11-03,有錢就請你攤下去，會賺回本的,1.0,65605
1699029108934_F0DCU,2023-11-03,你好，我是華南永昌證券，有興趣可以聊聊喔！我們可以直接線上加開銀行戶！😊,1.0,65630
1699026409994_F0DCU,2023-11-03,今天多空交戰。小心,1.0,65603
1698974859966_F02_dcard_C,2023-11-03,最近很多都可以抽 但持續抽了一年沒中過 可不可以讓我中獎一次啊！！！！！,1.0,65604
1698989745369_F0DCU,2023-11-03,可以教我期貨嗎？ 拜託🥺,1.0,65617
1699029109025_F0DCU,2023-11-03,有些證券會需要開交割專戶，來找我可以直接用台新扣款哦~也會教你約定定期定額,1.0,65631
1698999182144_F0DCU,2023-11-03,班長：開司，除了啤酒以外，再來個雞肉串？,1.0,65653
1698979579859_F02_dcard_C,2023-11-03,笑死 前面抽100中0，這次不到20次中2，只能說抽籤就是這樣，所以如果有一直抽不到的各位，持之以恆抽才是最重要的🥹，畢竟這花的錢比樂透還少，祝各位早日中籤！,1.0,65633
1699030202879_F0DCU,2023-11-03,"B1 昨天有留倉喔 然後平倉1 
用當沖保證金減半做日內2口",1.0,65662
1698973677751_F02_dcard_C,2023-11-03,"📈 加權指數    16396.95      +2.23%
📈 櫃買指數   214.51       +1.27%
 
《夜間行情🌑》
⭐️台指期收在16,505.00點，上漲116.00點。
⭐️電子期貨收在813.80點，上漲6.05點。
⭐️小型電子期貨收在814.30點，上漲6.55點。
⭐️半導體30指數期貨收在4,484點，上漲28點。
 
《美國主要指數📊》
📚美股道瓊指數上漲 564.5 點，或 1.7%，收 33,839.08 點。
📚那斯達克指數上漲 232.72 點，或 1.78%，收 13,294.19 點。
📚標普 500 指數上漲 79.92 點，或 1.89%，收 4,317.78 點。
📚費城半導體指數上漲 77.59 點，或 2.36%，收 3,368.54 點。
 
https://megapx-assets.dcard.tw/images/0a53c409-2543-400e-9e35-1a58f63f7f4e/640.jpeg
https://megapx-assets.dcard.tw/images/f747e0a1-e9fb-4cd3-9ee2-5e743d62ffa2/640.jpeg
https://megapx-assets.dcard.tw/images/005e249b-47cc-4ac8-b129-6a748ea2cb22/640.jpeg
《11/03新聞🔍》
https://www.ctee.com.tw/news/20231103700046-439901
https://www.chinatimes.com/newspapers/20231103000316-260206
https://money.udn.com/money/story/5607/7548243
https://news.cnyes.com/news/id/5365368?exp=a
https://news.cnyes.com/news/id/5365395?exp=a
https://news.cnyes.com/news/id/5365467?exp=a
https://news.cnyes.com/news/id/5365361?exp=a
https://news.cnyes.com/news/id/5365366?exp=a
https://news.cnyes.com/news/id/5365466?exp=a
 
《大盤😻》
周四大盤大漲358點，收在16396點，K線呈現量增長紅，可視為多方攻擊訊號，周五盤勢若能維持月線之上將挑戰10月25日紅K高點16459點。電子股為盤面主流，電子股細產業中的記憶體模組指標、樞紐指標、IC設計指標為多頭指標。
 
https://megapx-assets.dcard.tw/images/9d88f1a0-0b75-4077-b1f5-10b3d7817a50/640.jpeg
【台股強弱勢股🔥】
《強勢類股》   
🔴電子                +2.91%
🔴玻璃陶瓷            +2.38%                                                                                                                                       
🔴汽車                +2.13%
《弱勢類股》       
🔴當日無弱勢股

歡迎追蹤按💗
https://sticker-assets.dcard.tw/images/8517c300-81e1-4e93-a08f-25742d5738af/orig.png

《美股》
《股市》
🔘 強勢：能源
🔘 弱勢：無
市場預期聯準會可能結束升息循環下，有利投資氣氛回籠，市場繼續關注陸續公布的美股財報外，並關注今日非農就業數據公布情形，市場預估19萬人。
https://megapx-assets.dcard.tw/images/4f377397-c0ea-4838-8652-395ffe3a6a34/640.jpeg
https://megapx-assets.dcard.tw/images/910cb346-d283-4a4b-a45b-2f405a6a7795/640.jpeg
https://megapx-assets.dcard.tw/images/c962104e-0de3-4c5e-adbb-312e41673011/640.jpeg",1.0,65602
1699009413971_F0DCU,2023-11-03,心態決定一切,1.0,65661
1699030202839_F0DCU,2023-11-03,想問一下大大，是只打日盤當沖嗎?看口數應該是一口變兩口的再打?,1.0,65660
1698989745707_F0DCU,2023-11-03,確實在賭博啊,1.0,65659
1698989745630_F0DCU,2023-11-03,能穩定獲利個五年以上再說吧，用運氣賺到的終究會用實力賠回去,1.0,65658
1699025729450_F0DCU,2023-11-03,歡迎來找我聊聊，賣出不是吸血鬼價格，我自己也有在賣,1.0,65657
1698989745567_F0DCU,2023-11-03,老婆 熱水幫你烙好了 晚上幾點回家,1.0,65656
1699029109185_F0DCU,2023-11-03,🙋🙋🙋可以聊聊喔,1.0,65655
1698983432988_F02_dcard_C,2023-11-03,8ZZ 不愧是股市反指標，選了沒買的，漲，真的買了的，跌，讓我們一起為股海冥燈默哀，或是多多訂閱她，讓她繼續照亮我們,1.0,65654
1699027145186_F0DCU,2023-11-03,"https://megapx-assets.dcard.tw/images/33f8e5f8-7150-4ab2-a053-804aa2e9bcb4/640.jpeg
我們這些綏人
一起集氣會比較厲害嗎🥹",1.0,65652
1699030965523_F0DCU,2023-11-03,"浩哥我愛你哈哈哈
https://sticker-assets.dcard.tw/images/d0764c8b-f751-44ed-a719-51fce3089b3f/orig.png",1.0,65651
1699019449178_F0DCU,2023-11-03,"通報 📢
好像有人對這篇文章有新想法唷，快來去看看！
 https://www.dcard.tw/f/stock/p/253757283",1.0,65650
1698982138209_F02_dcard_C,2023-11-03,今天勤誠又漲啦，不用多，每天賺一萬就好😂😂😂,1.0,65649
1698989745469_F0DCU,2023-11-03,期貨某部分就是在賭博啊🤔️,1.0,65648
1699029751694_F0DCU,2023-11-03,哭⋯摃龜 59 次⋯至今還沒中過籤,1.0,65647
1699029109092_F0DCU,2023-11-03,"開哪個證券戶我覺得都還好
不過盡量挑大一點的券商比較好
順便開數位帳戶綁交割戶也很快
啊一般都會有理專來留言
你就慢慢比較😂",1.0,65646
1699020758602_F0DCU,2023-11-03,"技術分析本來就是事後論
用過往紀錄去推測未來走勢
如果否認技術分析是事後論
那代表你有一台很讚的量子電腦
還有一套很優秀的演算軟體
這邊先謝謝大哥無私奉獻資訊",1.0,65645
1698988900144_F0DCU,2023-11-03,"通報 📢
好像有人對這篇文章有新想法唷，快來去看看！
 https://www.dcard.tw/f/stock/p/253757108",1.0,65644
1698980858005_F02_dcard_C,2023-11-03,11/2+2716，11/3+5872，未平倉一樣還有，有出場再來改,1.0,65643
1698989582267_F0DCU,2023-11-03,閱,1.0,65642
1698989582192_F0DCU,2023-11-03,我只能說這隻只會越來越慘,1.0,65641
1699023231539_F0DCU,2023-11-03,投資就各有所好吧~我是想要規劃未來都可以有穩定的現金流，所以從現在開始慢慢開始存00919,1.0,65640
1698986187054_F0DCU,2023-11-03,"B12 怎麼漲的怎麼跌
你真的覺得緯創有這個價位的價值？
就算是趨勢 你看去緯創在ai營收的佔比多少 你就知道要不要賣了",1.0,65639
1699029751658_F0DCU,2023-11-03,👏,1.0,65638
1699029751581_F0DCU,2023-11-03,"乾！！原來是你😭
我好想抽中阿阿阿阿",1.0,65637
1699029751525_F0DCU,2023-11-03,"恭喜  
ccccc",1.0,65636
1699029751496_F0DCU,2023-11-03,"https://megapx-assets.dcard.tw/images/aabcb787-dd1a-4831-a648-9bc6bb8a0b00/orig.jpeg
我要哭啦😭",1.0,65635
1698986186995_F0DCU,2023-11-03,怎麼上去怎麼下來,1.0,65634
1698989373084_F0DCU,2023-11-03,"https://megapx-assets.dcard.tw/images/4ec68238-2beb-40a3-991d-70c41aa0f59a/640.jpeg
+1",1.0,65632
1699025729410_F0DCU,2023-11-03,🙋🙋🙋,1.0,65601
1698943312404_F0DCU,2023-11-03,五年後吧,1.0,65554
1698973704614_F02_dcard_C,2023-11-03,"【K線捕手盤前快訊】短線強漲，空間有限

週二下午曾提醒大家，在低迷多日之後，盤後終於可以跟大家說一些好消息，「在周末就已經規畫，第一個小支撐在15950，基本上就是現在位置，所以多方稍微可以喘息一下」，以及「短線高手可以搶一下多方個股的價差」，加權指數連兩天出現上漲，昨天漲幅更來到358點，可惜成交量只有2681億，真正攻擊量必須2750億以上，不過也算差強人意，勉強可以接受。

突然冒出一根長紅K棒，很多昏昏欲睡的投資人都醒過來，因為昨天大漲立刻又轉為看多，但問題是這個上漲是意外嗎？既然在周二下午就已經預告，就是在可預期中，那就不需要太意外。昨天加權指數上漲雖是在規畫之內，不過漲幅很大，直接攻到20日線和黃金分割率的0.382-0.5的位置，這是在意料之外。所以難題又來了，這究竟是反彈？還是回升？ 

先從漲幅跟時間來看，基本上如果今天再續漲，那漲幅跟時間算是符合，但是量能還是不大足夠。其次，到了16400-16500(月線與季線)，也就是0.5-0.618之間，已經屬於強勢反彈，但相對的越往上壓力越大。第三，多頭是緩漲急跌，空頭是急漲緩跌，目前顯然是空頭中的反彈。第四，究竟有沒有由空翻多，問自己最清楚，前幾個月買的股票解套了嗎？大部分應該沒有。除非是周二開始搶反彈，短多有可能獲利。

所以中性看待盤勢短線反彈，中期回到大箱型盤整，悲觀看待只是擴頂現象，將頭部型態再延長擴大(頭部型態從標準型到變形有6種，雖然目前站回頸線之上，但不排除是頭部的變形，等周末影音解盤再畫給各位看，比較清楚。)，所以一樣看法，只是短線轉強，但要說正式翻多，還言之過早，然後不要甚麼都推給選舉行情，昨天是全球一起漲，難道其他國家也要選總統嗎？這樣會陷入解盤迷思。多方稍微可以喘息，但空方的警報還沒解除，切勿掉以輕心。

(歡迎分享，請載明出處K線捕手楊忠憲粉絲團)",1.0,65599
1698947462326_F02_dcard_C,2023-11-03,"因為如果鍋選到底，所有跟他相關的股民也必須支持他，如果成功 股票不就大漲，然後也讓所有大多台灣人有結合的被動一起支持，有這種可能性嗎，看了韓國總統把他們的企業家團 老闆帶去 阿拉伯訪問 談生意 ,阿拉伯石油能源產值深不見底 ，然後韓國人還跑去跟他們阿拉伯人合作生意經濟，很感嘆 真的覺得 為什麼台灣總統沒有這樣的魄力，反而害怕政商合作，經濟總是被政治耽誤，無奈。",1.0,65566
1698986186816_F0DCU,2023-11-03,停損停利設好守紀律就好了,1.0,65565
1698947389817_F02_dcard_C,2023-11-03,今天開會就亂打一通了，原本+8000，後面拉上去了，波若威也沒有如期下來，今天沒啥幅度，小賠一點，謝謝市場,1.0,65564
1698976712586_F0DCU,2023-11-03,保管費是怎麼計算呢,1.0,65563
1698977808893_F0DCU,2023-11-03,愛您,1.0,65562
1698962489181_F0DCU,2023-11-03,"1.有做過研究統計過去出現反吞噬就是市場行情反轉的徵兆勝率多少？
2.如何證明這是個有用的策略？
3.技術分析跟占卜差在哪裡？",1.0,65561
1698976712506_F0DCU,2023-11-03,那00692的話可以算是兼具兩者嗎？,1.0,65560
1698958222826_F0DCU,2023-11-03,明天才可以,1.0,65559
1698977170268_F0DCU,2023-11-03,看到我家矽統上榜了…484要被狙擊了🥲？,1.0,65558
1698969974423_F0DCU,2023-11-03,"10月上下翻轉還能有快30W，厲害厲害
11月剛開始就有20W未實現，已羨慕",1.0,65557
1698944438414_F02_dcard_C,2023-11-03,殊不知我在賺錢，今年把期貨額度開到100萬後，下單口數也變大膽了,1.0,65556
1698970279941_F0DCU,2023-11-03,Cccccc,1.0,65555
1698974559449_F0DCU,2023-11-03,https://megapx-assets.dcard.tw/images/a7569274-bdae-4b7a-886d-b09558a342e5/640.jpeg,1.0,65553
1698981742704_F0DCU,2023-11-03,今天後悔嗎⋯,1.0,65567
1698947931340_F0DCU,2023-11-03,"我有打電話去問 他們說還在修 哈哈😆
等它修好 會不會競賽已經結束
這次真的辦的很糟糕 一堆bug",1.0,65552
1698980521407_F0DCU,2023-11-03,"台泥、中鋼目前大熊市啊！
況且單日內震幅又小
目前也還沒觸底
買了等超久",1.0,65550
1698946512138_F0DCU,2023-11-03,新手拿150元去看宏爺講股。 再入場保證你省幾萬或幾十萬。,1.0,65549
1698943312348_F0DCU,2023-11-03,大概一世紀,1.0,65548
